device_id,t_start,t_end,duration_s,is_moving,label_operacional,confidence,evidence,accel_mean,accel_std,accel_rms,accel_p95,accel_p99,peak_count,peak_height_mean,peak_interval_mean,pitch_delta,roll_delta,voltage_mean
TRK-101,2025-12-12 18:56:03.139000+00:00,2025-12-12 18:56:58.140000+00:00,55.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.06022113367678571,0.1320550074983998,0.14406147199886718,0.1548918325,0.571335185000002,0.0,0.0,,3.6346609999999995,4.6986634,4423.0
TRK-101,2025-12-12 19:03:22.139000+00:00,2025-12-12 19:05:28.139000+00:00,126.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.02100138298110237,0.043378762956016975,0.04804121660435628,0.09980557719999993,0.2268572139999998,0.0,0.0,,4.764149999999999,1.1655230999999997,4423.0
TRK-101,2025-12-12 19:16:23.139000+00:00,2025-12-12 19:17:03.139000+00:00,40.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.047014620931707315,0.07199941863516045,0.0852517089718528,0.18216981,0.3273390020000001,0.0,0.0,,5.115173400000001,1.1957045000000002,4423.0
TRK-101,2025-12-12 19:17:13.139000+00:00,2025-12-12 19:17:37.139000+00:00,24.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.036921119659999994,0.04619936248365161,0.058413824794204684,0.14449680399999987,0.18118748839999993,0.0,0.0,,3.905193999999999,0.30416065,4423.0
TRK-101,2025-12-12 19:23:31.139000+00:00,2025-12-12 19:25:27.141000+00:00,116.002,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.024159177574358974,0.05076728381544821,0.05602637428688707,0.11736885599999962,0.27366305120000006,0.0,0.0,,4.5090080000000015,1.9119145,4423.0
TRK-101,2025-12-12 19:36:11.139000+00:00,2025-12-12 19:36:56.139000+00:00,45.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.04259496604565217,0.06394039746528743,0.07624846133196567,0.12860793750000002,0.3121086925,0.0,0.0,,2.2619109999999996,0.9090881999999998,4492.54347826087
TRK-101,2025-12-12 19:42:39.140000+00:00,2025-12-12 19:45:05.139000+00:00,145.999,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.02330214139387755,0.059944498361173056,0.06412400617475113,0.10116436579999968,0.2941720691999998,0.0,0.0,,4.682141,1.7794945999999998,4445.0
TRK-101,2025-12-12 19:56:34.140000+00:00,2025-12-12 19:57:15.140000+00:00,41.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.029538553557142855,0.03046166795155537,0.042170442123219465,0.11054880169999982,0.1293424472999999,0.0,0.0,,4.2109677,0.82614824,4443.0
TRK-101,2025-12-12 20:03:00.138000+00:00,2025-12-12 20:05:24.139000+00:00,144.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.01707466582841379,0.036876132169008875,0.04052178509245703,0.08359188199999971,0.17437158240000017,0.0,0.0,,2.671154999999999,2.61115958,4441.503448275862
TRK-101,2025-12-12 20:16:02.139000+00:00,2025-12-12 20:16:40.140000+00:00,38.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.06684821917948719,0.07576181807742692,0.10030633960975242,0.25285727,0.3232212537999998,0.0,0.0,,4.755519,2.4771288,4442.0
