cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
26,espera_basculamento,2025-12-13T04:13:06-03:00,2025-12-13T04:13:22-03:00,17,-11.693086,-47.165261,"-11.693,-47.165",1
27,espera_carregamento,2025-12-13T04:18:38-03:00,2025-12-13T04:20:19-03:00,102,-11.699290,-47.157385,"-11.699,-47.157",1
27,carregamento,2025-12-13T04:21:06-03:00,2025-12-13T04:27:02-03:00,301,-11.698989,-47.157561,"-11.699,-47.158",1
27,espera_carregamento,2025-12-13T04:24:27-03:00,2025-12-13T04:27:02-03:00,156,-11.699055,-47.157676,"-11.699,-47.158",1
27,basculamento,2025-12-13T04:37:00-03:00,2025-12-13T04:37:44-03:00,45,-11.692997,-47.165249,"-11.693,-47.165",1
27,basculamento,2025-12-13T04:37:56-03:00,2025-12-13T04:38:13-03:00,18,-11.693032,-47.165221,"-11.693,-47.165",1
28,espera_carregamento,2025-12-13T04:45:09-03:00,2025-12-13T04:47:37-03:00,149,-11.699076,-47.157217,"-11.699,-47.157",1
28,carregamento,2025-12-13T04:48:11-03:00,2025-12-13T04:50:16-03:00,126,-11.698917,-47.157211,"-11.699,-47.157",0
,espera_basculamento,2025-12-13T04:59:57-03:00,2025-12-13T05:00:42-03:00,46,-11.692998,-47.165186,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T05:00:58-03:00,2025-12-13T05:04:41-03:00,224,-11.693031,-47.165149,"-11.693,-47.165",1
,espera_carregamento,2025-12-13T05:09:24-03:00,2025-12-13T05:13:28-03:00,245,-11.699081,-47.157536,"-11.699,-47.158",1
29,espera_carregamento,2025-12-13T05:14:46-03:00,2025-12-13T05:15:36-03:00,51,-11.698981,-47.157267,"-11.699,-47.157",1
29,carregamento,2025-12-13T05:15:46-03:00,2025-12-13T05:17:56-03:00,131,-11.698908,-47.157252,"-11.699,-47.157",1
29,basculamento,2025-12-13T05:26:54-03:00,2025-12-13T05:27:39-03:00,46,-11.693013,-47.165248,"-11.693,-47.165",1
30,carregamento,2025-12-13T05:33:34-03:00,2025-12-13T05:38:05-03:00,249,-11.699010,-47.157185,"-11.699,-47.157",0
30,espera_carregamento,2025-12-13T05:35:31-03:00,2025-12-13T05:38:05-03:00,155,-11.698941,-47.157193,"-11.699,-47.157",1
,espera_basculamento,2025-12-13T05:47:28-03:00,2025-12-13T05:48:11-03:00,44,-11.692847,-47.165942,"-11.693,-47.166",1
31,carregamento,2025-12-13T05:53:54-03:00,2025-12-13T05:56:36-03:00,163,-11.698870,-47.157215,"-11.699,-47.157",1
